id,Nathalie Arthaud,François Asselineau,Jacques Cheminade,Nicolas Dupont-Aignan,François Fillon,Benoît Hamon,Jean Lassalle,Marine Le Pen,Emmanuel Macron,Jean-Luc Mélenchon,Philippe Poutou
12923,1,0,0,0,0,1,0,0,0,1,1
26829,0,0,0,0,0,1,0,0,0,1,0
24026,0,0,0,0,0,0,0,0,0,1,0
28330,0,0,0,0,0,0,0,0,1,0,0
21857,0,0,0,0,0,0,0,0,1,1,0
20554,0,0,0,0,0,1,0,0,0,1,0
7836,1,0,1,0,0,1,1,0,0,1,1
24147,0,0,0,1,0,1,0,0,1,0,0
6277,0,0,0,0,0,0,1,0,1,1,0
10778,1,0,0,0,1,1,0,0,1,1,0
30263,0,0,0,0,0,0,0,0,1,0,0
29993,0,0,0,0,0,1,0,0,0,1,0
18544,1,0,0,0,0,1,0,0,0,1,1
23654,0,0,0,0,0,1,1,0,1,0,1
420,0,0,0,0,0,1,0,0,0,1,0
