id,Nicolas Dupont-Aignan,Marine Le Pen,Emmanuel Macron,Benoît Hamon,Nathalie Arthaud,Philippe Poutou,Jacques Cheminade,Jean Lassalle,Jean-Luc Mélenchon,François Asselineau,François Fillon
1531,0,0,1,0,0,1,0,0,1,0,0
1532,0,0,1,1,0,0,0,0,1,0,0
1533,0,0,1,1,0,0,0,0,1,0,0
1534,0,0,1,0,0,0,0,0,0,0,1
1535,0,0,1,0,0,0,0,0,0,0,1
1536,1,1,1,0,0,0,0,0,0,0,0
1537,1,1,1,1,0,0,0,0,1,0,1
1538,0,0,1,0,0,0,0,0,0,0,1
1539,1,0,1,0,0,0,0,0,0,0,1
1540,1,0,0,0,0,0,0,0,0,0,0
1541,0,0,0,1,0,0,0,0,1,0,0
1542,0,0,1,1,0,0,1,0,1,0,0
1543,0,0,1,0,0,0,0,0,0,0,1
1544,0,0,1,0,0,0,0,0,0,0,1
1545,1,0,1,1,0,0,0,0,0,0,0
1546,0,0,1,0,0,0,0,0,0,0,0
1547,0,0,1,0,0,0,0,0,0,0,0
1548,0,0,1,1,0,0,0,0,1,0,0
1549,0,0,1,1,0,1,0,0,1,0,0
1550,1,0,1,0,0,0,0,0,1,0,1
1551,0,0,0,1,0,0,1,0,1,0,0
1552,0,0,0,0,0,0,0,0,0,0,1
1553,1,1,1,0,0,0,0,0,1,0,1
1554,0,1,0,0,0,0,0,0,0,0,0
1555,1,0,0,0,0,0,0,0,0,0,0
1556,0,1,1,0,0,0,0,0,0,0,1
1557,1,0,1,0,0,0,0,0,0,0,0
1558,0,0,0,0,0,0,0,0,0,0,1
1559,0,0,1,1,0,0,0,0,1,0,1
1560,1,0,1,1,0,0,0,0,1,0,0
1561,0,0,1,1,0,0,0,0,0,0,1
1562,1,1,0,0,0,0,0,0,0,0,0
1563,0,0,1,0,0,0,0,0,0,0,1
1564,0,0,1,1,1,1,0,0,1,0,0
1565,0,1,0,0,0,0,0,0,0,0,1
1566,0,1,0,0,0,0,0,0,0,1,1
1567,0,0,1,1,0,0,0,0,0,0,0
1568,0,0,0,1,0,0,0,0,1,0,0
1569,1,0,0,0,0,0,0,0,1,0,1
