id,Nicolas Dupont-Aignan,Marine Le Pen,Emmanuel Macron,Benoît Hamon,Nathalie Arthaud,Philippe Poutou,Jacques Cheminade,Jean Lassalle,Jean-Luc Mélenchon,François Asselineau,François Fillon
215,0,0,1,1,0,0,0,0,1,0,0
216,0,0,0,1,0,1,0,0,1,0,0
217,0,0,1,1,0,0,0,0,0,0,0
218,0,1,0,0,0,0,0,0,0,0,1
219,1,0,0,1,0,0,0,0,0,0,0
220,0,0,0,0,0,0,0,0,1,0,0
221,0,1,0,0,0,1,0,0,0,1,0
222,0,0,0,1,0,0,0,0,1,0,0
223,0,0,0,1,1,0,1,1,1,1,0
224,0,0,1,1,0,0,0,0,1,0,0
225,1,0,1,0,0,0,1,0,0,1,1
226,0,0,0,1,1,1,1,1,1,0,0
227,0,0,1,0,0,1,0,0,1,0,0
228,0,0,1,1,0,0,0,0,1,0,0
229,0,0,1,0,0,0,0,1,1,0,0
230,0,0,1,1,0,0,0,0,0,0,0
231,0,1,0,0,0,0,0,0,0,0,0
232,0,0,1,1,0,0,0,0,1,0,0
233,1,0,1,0,0,0,0,0,0,0,1
234,1,0,1,1,0,0,0,0,0,1,0
235,0,0,1,1,0,0,0,0,1,0,0
236,0,0,1,0,0,0,0,0,0,0,1
237,0,0,1,1,0,0,0,0,1,0,0
238,0,0,1,0,0,0,0,0,1,0,1
239,0,0,1,0,0,0,0,0,0,0,1
240,0,0,1,0,0,0,0,0,0,0,1
241,0,0,1,0,0,0,0,0,1,0,0
242,0,0,1,1,0,0,0,0,1,0,0
243,0,0,1,0,0,0,0,0,0,0,1
244,0,0,0,1,0,0,0,0,1,0,0
245,1,0,1,0,0,0,0,0,0,1,1
246,0,0,1,0,0,0,0,0,1,0,0
247,1,0,0,1,0,0,0,0,1,0,0
248,0,0,0,0,0,0,0,0,1,0,0
249,0,0,1,1,0,0,0,0,0,0,0
250,0,0,1,1,0,0,0,0,1,0,1
251,0,0,1,1,0,0,0,0,1,0,0
252,1,1,0,0,0,0,0,1,0,1,1
253,1,0,0,0,0,0,0,1,0,0,1
254,0,0,1,1,0,0,0,0,0,0,0
255,1,0,1,0,0,0,0,0,1,0,0
256,1,0,1,0,0,0,0,1,0,0,0
257,1,1,0,0,0,0,0,0,0,0,0
258,0,0,0,1,0,0,0,0,1,0,0
259,0,0,1,1,0,0,0,0,1,0,0
260,0,0,0,1,0,0,0,0,1,0,0
261,0,0,1,1,0,0,0,0,1,0,1
262,0,0,1,0,0,0,0,0,0,0,1
263,0,0,0,1,0,0,0,0,0,0,0
264,0,0,1,1,0,0,0,0,1,0,0
265,0,0,1,1,0,0,0,0,1,0,0
266,0,0,1,0,0,0,0,0,0,0,1
267,0,0,1,1,0,0,0,0,0,0,0
268,1,0,0,0,0,0,0,0,0,0,1
269,0,0,1,0,0,0,0,0,0,0,1
270,0,0,1,1,0,0,0,0,0,0,0
271,0,0,1,1,0,0,0,0,1,0,0
272,1,0,1,1,0,0,1,1,1,1,0
273,1,0,1,0,0,0,0,0,1,0,0
274,0,0,1,1,0,0,0,0,1,0,0
275,0,0,0,0,0,0,0,0,0,0,0
276,0,0,1,1,0,0,0,0,1,0,0
277,1,0,1,0,0,0,0,0,0,0,0
278,0,0,1,1,0,0,0,0,0,0,1
279,0,0,0,1,0,1,0,0,1,0,0
280,0,0,1,1,0,0,0,0,1,0,0
281,1,0,0,0,0,0,0,0,0,0,1
282,1,0,0,0,0,0,0,0,0,0,1
283,0,0,1,0,0,0,0,0,0,0,0
284,1,1,1,1,0,0,0,0,0,1,1
285,0,0,1,0,0,0,0,0,0,0,1
286,0,0,1,1,0,0,0,0,0,0,1
287,1,0,1,0,0,0,0,0,0,0,0
288,0,0,1,1,0,0,0,0,1,0,0
289,0,1,1,1,0,0,0,0,1,0,0
290,0,0,0,1,0,0,0,0,0,0,0
291,0,0,0,1,0,0,0,0,1,0,0
292,0,1,0,0,1,1,0,0,0,0,0
293,0,0,1,1,0,0,0,0,1,0,0
